------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 1.17
downloading device type, iphone
device, Betsy Mansfield’s iPhone
downloading mode, manual
------------------------------,--------------------
serial number, 0492 4E00 0C55 03
custom name, 
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 9907
time diff [logger-smartphone](sec), 136
lat, 36.621401
long, -121.903977
accuracy (m), 6.1
------------------------------,--------------------
time,temp
2022-03-27 21:21:42,NA
2022-03-27 21:31:42,24.0
2022-03-27 21:41:42,23.9
2022-03-27 21:51:42,24.7
2022-03-27 22:01:42,25.6
2022-03-27 22:11:42,24.8
2022-03-27 22:21:42,24.8
2022-03-27 22:31:42,25.6
2022-03-27 22:41:42,26.7
2022-03-27 22:51:42,28.6
2022-03-27 23:01:42,29.1
2022-03-27 23:11:42,29.7
2022-03-27 23:21:42,29.9
2022-03-27 23:31:42,27.0
2022-03-27 23:41:42,27.7
2022-03-27 23:51:42,25.5
2022-03-28 00:01:42,26.0
2022-03-28 00:11:42,23.8
2022-03-28 00:21:42,23.5
2022-03-28 00:31:42,22.9
2022-03-28 00:41:42,21.9
2022-03-28 00:51:42,21.1
2022-03-28 01:01:42,20.4
2022-03-28 01:11:42,19.6
2022-03-28 01:21:42,18.6
2022-03-28 01:31:42,15.6
2022-03-28 01:41:42,14.5
2022-03-28 01:51:42,14.0
2022-03-28 02:01:42,13.6
2022-03-28 02:11:42,13.4
2022-03-28 02:21:42,13.2
2022-03-28 02:31:42,13.2
2022-03-28 02:41:42,13.1
2022-03-28 02:51:42,13.0
2022-03-28 03:01:42,12.9
2022-03-28 03:11:42,12.8
2022-03-28 03:21:42,12.8
2022-03-28 03:31:42,12.7
2022-03-28 03:41:42,12.6
2022-03-28 03:51:42,12.5
2022-03-28 04:01:42,12.5
2022-03-28 04:11:42,12.4
2022-03-28 04:21:42,12.3
2022-03-28 04:31:42,12.2
2022-03-28 04:41:42,12.2
2022-03-28 04:51:42,12.1
2022-03-28 05:01:42,12.1
2022-03-28 05:11:42,12.0
2022-03-28 05:21:42,12.0
2022-03-28 05:31:42,12.0
2022-03-28 05:41:42,12.0
2022-03-28 05:51:42,11.9
2022-03-28 06:01:42,11.9
2022-03-28 06:11:42,11.8
2022-03-28 06:21:42,11.7
2022-03-28 06:31:42,11.7
2022-03-28 06:41:42,11.6
2022-03-28 06:51:42,11.5
2022-03-28 07:01:42,11.4
2022-03-28 07:11:42,11.3
2022-03-28 07:21:42,11.3
2022-03-28 07:31:42,11.2
2022-03-28 07:41:42,11.3
2022-03-28 07:51:42,11.2
2022-03-28 08:01:42,11.3
2022-03-28 08:11:42,11.0
