------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T7.3
EnvLogger Viewer version, 1.18
downloading device type, iphone
device, iPhone
downloading mode, manual
------------------------------,--------------------
serial number, 043D 6E00 9A5A 04
custom name, 
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 25106
time diff [logger-smartphone](sec), -19
lat, 36.621374
long, -121.903993
accuracy (m), 4.8
------------------------------,--------------------
time,temp
2023-08-04 14:28:00,16.0
2023-08-04 14:38:00,14.7
2023-08-04 14:48:00,15.0
2023-08-04 14:58:00,15.7
2023-08-04 15:08:00,15.7
2023-08-04 15:18:00,16.2
2023-08-04 15:28:00,16.6
2023-08-04 15:38:00,16.8
2023-08-04 15:48:00,17.6
2023-08-04 15:58:00,17.3
2023-08-04 16:08:00,16.9
2023-08-04 16:18:00,17.1
2023-08-04 16:28:00,18.4
2023-08-04 16:38:00,19.2
2023-08-04 16:48:00,19.8
2023-08-04 16:58:00,19.7
2023-08-04 17:08:00,20.7
2023-08-04 17:18:00,21.3
2023-08-04 17:28:00,21.3
2023-08-04 17:38:00,22.3
2023-08-04 17:48:00,22.9
2023-08-04 17:58:00,22.6
2023-08-04 18:08:00,20.1
2023-08-04 18:18:00,18.2
2023-08-04 18:28:00,17.0
2023-08-04 18:38:00,16.4
2023-08-04 18:48:00,16.3
2023-08-04 18:58:00,16.3
2023-08-04 19:08:00,16.2
2023-08-04 19:18:00,16.1
2023-08-04 19:28:00,16.1
2023-08-04 19:38:00,16.0
2023-08-04 19:48:00,16.0
2023-08-04 19:58:00,16.0
2023-08-04 20:08:00,16.1
2023-08-04 20:18:00,16.0
2023-08-04 20:28:00,16.0
2023-08-04 20:38:00,16.0
2023-08-04 20:48:00,15.7
2023-08-04 20:58:00,15.8
2023-08-04 21:08:00,15.7
2023-08-04 21:18:00,15.8
2023-08-04 21:28:00,15.8
2023-08-04 21:38:00,15.9
2023-08-04 21:48:00,15.9
2023-08-04 21:58:00,16.0
2023-08-04 22:08:00,15.9
2023-08-04 22:18:00,15.8
2023-08-04 22:28:00,15.6
2023-08-04 22:38:00,15.6
2023-08-04 22:48:00,15.5
2023-08-04 22:58:00,15.6
2023-08-04 23:08:00,15.5
2023-08-04 23:18:00,15.5
2023-08-04 23:28:00,15.6
2023-08-04 23:38:00,15.6
2023-08-04 23:48:00,15.8
2023-08-04 23:58:00,15.9
2023-08-05 00:08:00,15.9
2023-08-05 00:18:00,15.9
2023-08-05 00:28:00,16.2
2023-08-05 00:38:00,16.1
2023-08-05 00:48:00,16.2
2023-08-05 00:58:00,16.4
2023-08-05 01:08:00,16.3
2023-08-05 01:18:00,16.2
