------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T7.3
EnvLogger Viewer version, 1.22
downloading device type, iphone
device, iPhone
device name, iOS 26.5.2
downloading mode, manual
------------------------------,--------------------
serial number, 049B 7D00 000D 0A
custom name, 
temperature, degrees Celsius (ºC)
time zone, UTC+0000
sampling resolution, 0.1
samples, 895
time diff [logger-smartphone](sec), -7
lat, No GPS fix
long, No GPS fix
accuracy (m), NA
------------------------------,--------------------
time,temp
2026-08-07 16:30:00,19.5
2026-08-07 16:30:10,19.5
2026-08-07 16:30:20,19.5
2026-08-07 16:30:30,19.5
2026-08-07 16:30:40,19.5
2026-08-07 16:30:50,19.5
2026-08-07 16:31:00,19.5
2026-08-07 16:31:10,19.5
2026-08-07 16:31:20,19.5
2026-08-07 16:31:30,19.6
2026-08-07 16:31:40,19.6
2026-08-07 16:31:50,19.5
2026-08-07 16:32:00,19.6
2026-08-07 16:32:10,19.6
2026-08-07 16:32:20,19.6
2026-08-07 16:32:30,19.6
2026-08-07 16:32:40,19.6
2026-08-07 16:32:50,19.6
2026-08-07 16:33:00,19.6
2026-08-07 16:33:10,19.5
2026-08-07 16:33:20,19.6
2026-08-07 16:33:30,19.5
2026-08-07 16:33:40,19.5
2026-08-07 16:33:50,19.5
2026-08-07 16:34:00,19.6
2026-08-07 16:34:10,19.5
2026-08-07 16:34:20,19.6
2026-08-07 16:34:30,19.6
2026-08-07 16:34:40,19.6
2026-08-07 16:34:50,19.6
2026-08-07 16:35:00,19.6
2026-08-07 16:35:10,19.6
2026-08-07 16:35:20,19.7
2026-08-07 16:35:30,19.6
2026-08-07 16:35:40,19.7
2026-08-07 16:35:50,19.7
2026-08-07 16:36:00,19.7
2026-08-07 16:36:10,19.7
2026-08-07 16:36:20,19.7
2026-08-07 16:36:30,19.7
2026-08-07 16:36:40,19.6
2026-08-07 16:36:50,19.6
2026-08-07 16:37:00,19.6
2026-08-07 16:37:10,19.6
2026-08-07 16:37:20,19.6
2026-08-07 16:37:30,19.6
2026-08-07 16:37:40,19.6
2026-08-07 16:37:50,19.6
2026-08-07 16:38:00,19.7
2026-08-07 16:38:10,19.7
2026-08-07 16:38:20,19.6
2026-08-07 16:38:30,19.6
2026-08-07 16:38:40,19.6
2026-08-07 16:38:50,19.5
2026-08-07 16:39:00,19.6
2026-08-07 16:39:10,19.5
2026-08-07 16:39:20,19.5
2026-08-07 16:39:30,19.4
2026-08-07 16:39:40,19.4
2026-08-07 16:39:50,19.4
2026-08-07 16:40:00,19.4
2026-08-07 16:40:10,19.4
2026-08-07 16:40:20,19.4
2026-08-07 16:40:30,19.4
2026-08-07 16:40:40,19.3
