------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T7.3
EnvLogger Viewer version, 1.22
downloading device type, iphone
device, iPhone
device name, iOS 26.5.2
downloading mode, manual
------------------------------,--------------------
serial number, 0441 F100 3817 08
custom name, 
temperature, degrees Celsius (ºC)
time zone, UTC+0000
sampling resolution, 0.1
samples, 735
time diff [logger-smartphone](sec), -6
lat, No GPS fix
long, No GPS fix
accuracy (m), NA
------------------------------,--------------------
time,temp
2026-08-10 18:00:51,21.2
2026-08-10 18:01:01,21.1
2026-08-10 18:01:11,21.1
2026-08-10 18:01:21,21.0
2026-08-10 18:01:31,20.9
2026-08-10 18:01:41,20.9
2026-08-10 18:01:51,20.5
2026-08-10 18:02:01,20.0
2026-08-10 18:02:11,19.5
2026-08-10 18:02:21,19.1
2026-08-10 18:02:31,18.7
2026-08-10 18:02:41,18.4
2026-08-10 18:02:51,18.0
2026-08-10 18:03:01,17.7
2026-08-10 18:03:11,17.5
2026-08-10 18:03:21,17.2
2026-08-10 18:03:31,17.0
2026-08-10 18:03:41,16.9
2026-08-10 18:03:51,16.8
2026-08-10 18:04:01,16.6
2026-08-10 18:04:11,16.5
2026-08-10 18:04:21,16.3
2026-08-10 18:04:31,16.3
2026-08-10 18:04:41,16.1
2026-08-10 18:04:51,16.1
2026-08-10 18:05:01,16.0
2026-08-10 18:05:11,15.9
2026-08-10 18:05:21,15.8
2026-08-10 18:05:31,15.8
2026-08-10 18:05:41,15.7
2026-08-10 18:05:51,15.6
2026-08-10 18:06:01,15.6
2026-08-10 18:06:11,15.6
2026-08-10 18:06:21,15.6
2026-08-10 18:06:31,15.5
2026-08-10 18:06:41,15.5
2026-08-10 18:06:51,15.5
2026-08-10 18:07:01,15.4
2026-08-10 18:07:11,15.4
2026-08-10 18:07:21,15.4
2026-08-10 18:07:31,15.4
2026-08-10 18:07:41,15.4
2026-08-10 18:07:51,15.4
2026-08-10 18:08:01,15.4
2026-08-10 18:08:11,15.4
2026-08-10 18:08:21,15.3
2026-08-10 18:08:31,15.4
2026-08-10 18:08:41,15.4
2026-08-10 18:08:51,15.4
2026-08-10 18:09:01,15.4
2026-08-10 18:09:11,15.4
2026-08-10 18:09:21,15.3
2026-08-10 18:09:31,15.4
2026-08-10 18:09:41,15.4
2026-08-10 18:09:51,15.4
2026-08-10 18:10:01,15.3
2026-08-10 18:10:11,15.4
2026-08-10 18:10:21,15.3
2026-08-10 18:10:31,15.3
2026-08-10 18:10:41,15.4
2026-08-10 18:10:51,15.3
2026-08-10 18:11:01,15.3
2026-08-10 18:11:11,15.4
2026-08-10 18:11:21,15.3
2026-08-10 18:11:31,15.4
