------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T7.3
EnvLogger Viewer version, 1.18
downloading device type, iphone
device, iPhone
downloading mode, manual
------------------------------,--------------------
serial number, 0413 2900 B80D 0B
custom name, 
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 196
time diff [logger-smartphone](sec), -1
lat, 36.618239
long, -121.895870
accuracy (m), 4.8
------------------------------,--------------------
time,temp
2024-05-03 16:23:03,NA
2024-05-03 16:23:23,16.2
2024-05-03 16:23:43,16.2
2024-05-03 16:24:03,16.3
2024-05-03 16:24:23,16.3
2024-05-03 16:24:43,16.3
2024-05-03 16:25:03,16.4
2024-05-03 16:25:23,16.4
2024-05-03 16:25:43,16.4
2024-05-03 16:26:03,16.3
2024-05-03 16:26:23,16.3
2024-05-03 16:26:43,16.3
2024-05-03 16:27:03,16.2
2024-05-03 16:27:23,16.3
2024-05-03 16:27:43,16.3
2024-05-03 16:28:03,16.3
2024-05-03 16:28:23,16.1
2024-05-03 16:28:43,15.4
2024-05-03 16:29:03,14.7
2024-05-03 16:29:23,14.2
2024-05-03 16:29:43,13.8
2024-05-03 16:30:03,13.7
2024-05-03 16:30:23,13.5
2024-05-03 16:30:43,13.4
2024-05-03 16:31:03,13.2
2024-05-03 16:31:23,13.0
2024-05-03 16:31:43,12.9
2024-05-03 16:32:03,12.7
2024-05-03 16:32:23,12.6
2024-05-03 16:32:43,12.5
2024-05-03 16:33:03,12.5
2024-05-03 16:33:23,12.4
2024-05-03 16:33:43,12.4
2024-05-03 16:34:03,12.3
2024-05-03 16:34:23,12.2
2024-05-03 16:34:43,12.2
2024-05-03 16:35:03,12.4
2024-05-03 16:35:23,12.5
2024-05-03 16:35:43,12.6
2024-05-03 16:36:03,12.6
2024-05-03 16:36:23,12.6
2024-05-03 16:36:43,12.5
2024-05-03 16:37:03,12.4
2024-05-03 16:37:23,12.3
2024-05-03 16:37:43,12.3
2024-05-03 16:38:03,12.3
2024-05-03 16:38:23,12.3
2024-05-03 16:38:43,12.3
2024-05-03 16:39:03,12.2
2024-05-03 16:39:23,12.2
2024-05-03 16:39:43,12.2
2024-05-03 16:40:03,12.2
2024-05-03 16:40:23,12.1
2024-05-03 16:40:43,12.1
2024-05-03 16:41:03,12.1
2024-05-03 16:41:23,12.1
2024-05-03 16:41:43,12.0
2024-05-03 16:42:03,12.0
2024-05-03 16:42:23,12.0
2024-05-03 16:42:43,12.0
2024-05-03 16:43:03,12.0
2024-05-03 16:43:23,12.1
2024-05-03 16:43:43,12.2
2024-05-03 16:44:03,12.3
2024-05-03 16:44:23,12.3
2024-05-03 16:44:43,12.4
