------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T7.3
EnvLogger Viewer version, 1.18
downloading device type, iphone
device, iPhone
downloading mode, manual
------------------------------,--------------------
serial number, 0419 6F00 263B 02
custom name, 
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 245
time diff [logger-smartphone](sec), -2
lat, 36.618541
long, -121.895976
accuracy (m), 4.8
------------------------------,--------------------
time,temp
2024-05-03 16:13:57,NA
2024-05-03 16:14:17,15.8
2024-05-03 16:14:37,15.9
2024-05-03 16:14:57,16.0
2024-05-03 16:15:17,16.1
2024-05-03 16:15:37,16.1
2024-05-03 16:15:57,16.1
2024-05-03 16:16:17,16.2
2024-05-03 16:16:37,16.3
2024-05-03 16:16:57,16.4
2024-05-03 16:17:17,16.4
2024-05-03 16:17:37,16.5
2024-05-03 16:17:57,16.5
2024-05-03 16:18:17,16.6
2024-05-03 16:18:37,16.7
2024-05-03 16:18:57,16.7
2024-05-03 16:19:17,16.7
2024-05-03 16:19:37,16.8
2024-05-03 16:19:57,16.8
2024-05-03 16:20:17,16.8
2024-05-03 16:20:37,16.8
2024-05-03 16:20:57,16.9
2024-05-03 16:21:17,16.8
2024-05-03 16:21:37,16.8
2024-05-03 16:21:57,16.7
2024-05-03 16:22:17,16.7
2024-05-03 16:22:37,16.7
2024-05-03 16:22:57,16.6
2024-05-03 16:23:17,16.6
2024-05-03 16:23:37,16.5
2024-05-03 16:23:57,16.6
2024-05-03 16:24:17,16.5
2024-05-03 16:24:37,16.5
2024-05-03 16:24:57,16.6
2024-05-03 16:25:17,16.6
2024-05-03 16:25:37,16.6
2024-05-03 16:25:57,NA
2024-05-03 16:26:17,16.7
2024-05-03 16:26:37,16.7
2024-05-03 16:26:57,16.8
2024-05-03 16:27:17,16.7
2024-05-03 16:27:37,16.7
2024-05-03 16:27:57,16.7
2024-05-03 16:28:17,16.4
2024-05-03 16:28:37,15.4
2024-05-03 16:28:57,14.6
2024-05-03 16:29:17,13.8
2024-05-03 16:29:37,13.2
2024-05-03 16:29:57,12.8
2024-05-03 16:30:17,12.5
2024-05-03 16:30:37,12.1
2024-05-03 16:30:57,12.0
2024-05-03 16:31:17,11.7
2024-05-03 16:31:37,11.6
2024-05-03 16:31:57,11.5
2024-05-03 16:32:17,11.4
2024-05-03 16:32:37,11.3
2024-05-03 16:32:57,11.3
2024-05-03 16:33:17,11.2
2024-05-03 16:33:37,11.2
2024-05-03 16:33:57,11.1
2024-05-03 16:34:17,11.1
2024-05-03 16:34:37,11.1
2024-05-03 16:34:57,11.1
2024-05-03 16:35:17,11.1
2024-05-03 16:35:37,11.1
2024-05-03 16:35:57,11.1
