------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T7.3
EnvLogger Viewer version, 1.18
downloading device type, iphone
device, iPhone
downloading mode, manual
------------------------------,--------------------
serial number, 0431 8200 F135 0A
custom name, 
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 236
time diff [logger-smartphone](sec), -22
lat, 36.618299
long, -121.896132
accuracy (m), 4.9
------------------------------,--------------------
time,temp
2024-05-03 16:14:44,NA
2024-05-03 16:15:04,15.9
2024-05-03 16:15:24,15.9
2024-05-03 16:15:44,15.9
2024-05-03 16:16:04,16.0
2024-05-03 16:16:24,16.0
2024-05-03 16:16:44,16.1
2024-05-03 16:17:04,16.2
2024-05-03 16:17:24,16.3
2024-05-03 16:17:44,16.4
2024-05-03 16:18:04,16.5
2024-05-03 16:18:24,16.6
2024-05-03 16:18:44,16.6
2024-05-03 16:19:04,16.6
2024-05-03 16:19:24,16.7
2024-05-03 16:19:44,16.8
2024-05-03 16:20:04,16.7
2024-05-03 16:20:24,16.8
2024-05-03 16:20:44,16.8
2024-05-03 16:21:04,16.8
2024-05-03 16:21:24,16.7
2024-05-03 16:21:44,16.7
2024-05-03 16:22:04,16.7
2024-05-03 16:22:24,16.7
2024-05-03 16:22:44,16.6
2024-05-03 16:23:04,16.6
2024-05-03 16:23:24,16.6
2024-05-03 16:23:44,16.6
2024-05-03 16:24:04,16.6
2024-05-03 16:24:24,16.5
2024-05-03 16:24:44,16.5
2024-05-03 16:25:04,16.5
2024-05-03 16:25:24,16.5
2024-05-03 16:25:44,16.6
2024-05-03 16:26:04,16.6
2024-05-03 16:26:24,16.6
2024-05-03 16:26:44,16.5
2024-05-03 16:27:04,16.5
2024-05-03 16:27:24,16.5
2024-05-03 16:27:44,16.6
2024-05-03 16:28:04,16.5
2024-05-03 16:28:24,16.5
2024-05-03 16:28:44,15.9
2024-05-03 16:29:04,15.1
2024-05-03 16:29:24,14.4
2024-05-03 16:29:44,13.7
2024-05-03 16:30:04,13.2
2024-05-03 16:30:24,12.9
2024-05-03 16:30:44,12.5
2024-05-03 16:31:04,12.3
2024-05-03 16:31:24,12.0
2024-05-03 16:31:44,11.9
2024-05-03 16:32:04,11.8
2024-05-03 16:32:24,11.6
2024-05-03 16:32:44,11.5
2024-05-03 16:33:04,11.5
2024-05-03 16:33:24,11.4
2024-05-03 16:33:44,11.4
2024-05-03 16:34:04,11.3
2024-05-03 16:34:24,11.3
2024-05-03 16:34:44,11.3
2024-05-03 16:35:04,11.2
2024-05-03 16:35:24,11.2
2024-05-03 16:35:44,11.2
2024-05-03 16:36:04,11.2
2024-05-03 16:36:24,11.2
2024-05-03 16:36:44,11.2
