------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T7.3
EnvLogger Viewer version, 1.18
downloading device type, iphone
device, iPhone
downloading mode, manual
------------------------------,--------------------
serial number, 0441 F100 3817 08
custom name, 
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 158
time diff [logger-smartphone](sec), -4
lat, 36.618134
long, -121.896002
accuracy (m), 4.8
------------------------------,--------------------
time,temp
2024-05-03 16:25:49,NA
2024-05-03 16:26:09,17.0
2024-05-03 16:26:29,17.0
2024-05-03 16:26:49,17.0
2024-05-03 16:27:09,16.9
2024-05-03 16:27:29,16.9
2024-05-03 16:27:49,16.9
2024-05-03 16:28:09,16.9
2024-05-03 16:28:29,16.9
2024-05-03 16:28:49,16.8
2024-05-03 16:29:09,16.8
2024-05-03 16:29:29,16.8
2024-05-03 16:29:49,16.8
2024-05-03 16:30:09,16.8
2024-05-03 16:30:29,16.9
2024-05-03 16:30:49,16.8
2024-05-03 16:31:09,16.8
2024-05-03 16:31:29,16.7
2024-05-03 16:31:49,16.7
2024-05-03 16:32:09,16.6
2024-05-03 16:32:29,16.6
2024-05-03 16:32:49,16.5
2024-05-03 16:33:09,16.4
2024-05-03 16:33:29,16.4
2024-05-03 16:33:49,16.3
2024-05-03 16:34:09,16.3
2024-05-03 16:34:29,16.3
2024-05-03 16:34:49,16.1
2024-05-03 16:35:09,16.1
2024-05-03 16:35:29,16.1
2024-05-03 16:35:49,16.0
2024-05-03 16:36:09,16.0
2024-05-03 16:36:29,16.0
2024-05-03 16:36:49,16.0
2024-05-03 16:37:09,16.0
2024-05-03 16:37:29,16.0
2024-05-03 16:37:49,15.9
2024-05-03 16:38:09,15.9
2024-05-03 16:38:29,15.9
2024-05-03 16:38:49,15.8
2024-05-03 16:39:09,15.9
2024-05-03 16:39:29,15.8
2024-05-03 16:39:49,15.8
2024-05-03 16:40:09,15.8
2024-05-03 16:40:29,15.8
2024-05-03 16:40:49,15.8
2024-05-03 16:41:09,15.8
2024-05-03 16:41:29,15.8
2024-05-03 16:41:49,15.8
2024-05-03 16:42:09,15.8
2024-05-03 16:42:29,15.8
2024-05-03 16:42:49,15.9
2024-05-03 16:43:09,15.9
2024-05-03 16:43:29,15.9
2024-05-03 16:43:49,15.9
2024-05-03 16:44:09,15.9
2024-05-03 16:44:29,15.9
2024-05-03 16:44:49,15.9
2024-05-03 16:45:09,15.9
2024-05-03 16:45:29,15.8
2024-05-03 16:45:49,15.8
2024-05-03 16:46:09,15.9
2024-05-03 16:46:29,15.8
2024-05-03 16:46:49,15.8
2024-05-03 16:47:09,15.8
2024-05-03 16:47:29,15.8
2024-05-03 16:47:49,15.8
