------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T7.3
EnvLogger Viewer version, 1.18
downloading device type, iphone
device, iPhone
downloading mode, manual
------------------------------,--------------------
serial number, 048B 4F00 E745 04
custom name, 
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 169
time diff [logger-smartphone](sec), -2
lat, 36.618165
long, -121.895936
accuracy (m), 4.8
------------------------------,--------------------
time,temp
2024-05-03 16:25:06,NA
2024-05-03 16:25:26,15.6
2024-05-03 16:25:46,15.6
2024-05-03 16:26:06,15.6
2024-05-03 16:26:26,15.6
2024-05-03 16:26:46,15.6
2024-05-03 16:27:06,15.6
2024-05-03 16:27:26,15.6
2024-05-03 16:27:46,15.6
2024-05-03 16:28:06,15.6
2024-05-03 16:28:26,15.5
2024-05-03 16:28:46,15.4
2024-05-03 16:29:06,15.2
2024-05-03 16:29:26,15.1
2024-05-03 16:29:46,15.0
2024-05-03 16:30:06,14.9
2024-05-03 16:30:26,14.9
2024-05-03 16:30:46,14.9
2024-05-03 16:31:06,14.8
2024-05-03 16:31:26,14.7
2024-05-03 16:31:46,14.7
2024-05-03 16:32:06,14.7
2024-05-03 16:32:26,14.6
2024-05-03 16:32:46,14.6
2024-05-03 16:33:06,14.6
2024-05-03 16:33:26,14.5
2024-05-03 16:33:46,14.6
2024-05-03 16:34:06,14.5
2024-05-03 16:34:26,14.5
2024-05-03 16:34:46,14.5
2024-05-03 16:35:06,14.5
2024-05-03 16:35:26,14.5
2024-05-03 16:35:46,14.5
2024-05-03 16:36:06,14.5
2024-05-03 16:36:26,14.5
2024-05-03 16:36:46,14.6
2024-05-03 16:37:06,14.6
2024-05-03 16:37:26,14.5
2024-05-03 16:37:46,14.5
2024-05-03 16:38:06,14.6
2024-05-03 16:38:26,14.5
2024-05-03 16:38:46,14.5
2024-05-03 16:39:06,14.5
2024-05-03 16:39:26,14.5
2024-05-03 16:39:46,14.5
2024-05-03 16:40:06,14.4
2024-05-03 16:40:26,14.4
2024-05-03 16:40:46,14.4
2024-05-03 16:41:06,14.4
2024-05-03 16:41:26,14.5
2024-05-03 16:41:46,14.4
2024-05-03 16:42:06,14.4
2024-05-03 16:42:26,14.4
2024-05-03 16:42:46,14.5
2024-05-03 16:43:06,14.5
2024-05-03 16:43:26,14.5
2024-05-03 16:43:46,14.4
2024-05-03 16:44:06,14.5
2024-05-03 16:44:26,14.5
2024-05-03 16:44:46,14.5
2024-05-03 16:45:06,14.5
2024-05-03 16:45:26,14.5
2024-05-03 16:45:46,14.6
2024-05-03 16:46:06,14.6
2024-05-03 16:46:26,14.6
2024-05-03 16:46:46,14.6
2024-05-03 16:47:06,14.6
