------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T7.3
EnvLogger Viewer version, 1.18
downloading device type, iphone
device, iPhone
downloading mode, manual
------------------------------,--------------------
serial number, 049A 2500 9F39 0B
custom name, 
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 189
time diff [logger-smartphone](sec), -1
lat, 36.618184
long, -121.895900
accuracy (m), 4.8
------------------------------,--------------------
time,temp
2024-05-03 16:23:42,NA
2024-05-03 16:24:02,15.9
2024-05-03 16:24:22,16.0
2024-05-03 16:24:42,16.0
2024-05-03 16:25:02,16.1
2024-05-03 16:25:22,16.1
2024-05-03 16:25:42,16.2
2024-05-03 16:26:02,16.1
2024-05-03 16:26:22,16.0
2024-05-03 16:26:42,16.1
2024-05-03 16:27:02,16.1
2024-05-03 16:27:22,16.1
2024-05-03 16:27:42,16.1
2024-05-03 16:28:02,16.2
2024-05-03 16:28:22,16.1
2024-05-03 16:28:42,16.0
2024-05-03 16:29:02,15.5
2024-05-03 16:29:22,15.1
2024-05-03 16:29:42,14.8
2024-05-03 16:30:02,14.6
2024-05-03 16:30:22,14.4
2024-05-03 16:30:42,14.3
2024-05-03 16:31:02,14.2
2024-05-03 16:31:22,14.1
2024-05-03 16:31:42,14.0
2024-05-03 16:32:02,13.9
2024-05-03 16:32:22,13.8
2024-05-03 16:32:42,13.8
2024-05-03 16:33:02,13.8
2024-05-03 16:33:22,13.8
2024-05-03 16:33:42,13.7
2024-05-03 16:34:02,13.7
2024-05-03 16:34:22,13.7
2024-05-03 16:34:42,13.7
2024-05-03 16:35:02,13.7
2024-05-03 16:35:22,13.7
2024-05-03 16:35:42,13.7
2024-05-03 16:36:02,13.7
2024-05-03 16:36:22,13.7
2024-05-03 16:36:42,13.7
2024-05-03 16:37:02,13.7
2024-05-03 16:37:22,13.8
2024-05-03 16:37:42,13.6
2024-05-03 16:38:02,13.6
2024-05-03 16:38:22,13.6
2024-05-03 16:38:42,13.6
2024-05-03 16:39:02,13.6
2024-05-03 16:39:22,13.6
2024-05-03 16:39:42,13.6
2024-05-03 16:40:02,13.6
2024-05-03 16:40:22,13.6
2024-05-03 16:40:42,13.6
2024-05-03 16:41:02,13.6
2024-05-03 16:41:22,13.6
2024-05-03 16:41:42,13.6
2024-05-03 16:42:02,13.6
2024-05-03 16:42:22,13.5
2024-05-03 16:42:42,13.5
2024-05-03 16:43:02,13.6
2024-05-03 16:43:22,13.5
2024-05-03 16:43:42,13.6
2024-05-03 16:44:02,13.6
2024-05-03 16:44:22,13.6
2024-05-03 16:44:42,13.7
2024-05-03 16:45:02,13.7
2024-05-03 16:45:22,13.7
