------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T7.3
EnvLogger Viewer version, 1.18
downloading device type, iphone
device, iPhone
downloading mode, manual
------------------------------,--------------------
serial number, 049B 7D00 000D 0A
custom name, 
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 163
time diff [logger-smartphone](sec), -1
lat, 36.618154
long, -121.895968
accuracy (m), 4.8
------------------------------,--------------------
time,temp
2024-05-03 16:25:30,NA
2024-05-03 16:25:50,16.3
2024-05-03 16:26:10,16.2
2024-05-03 16:26:30,16.2
2024-05-03 16:26:50,16.2
2024-05-03 16:27:10,16.3
2024-05-03 16:27:30,16.3
2024-05-03 16:27:50,16.3
2024-05-03 16:28:10,16.3
2024-05-03 16:28:30,16.2
2024-05-03 16:28:50,16.0
2024-05-03 16:29:10,15.7
2024-05-03 16:29:30,15.5
2024-05-03 16:29:50,15.4
2024-05-03 16:30:10,15.2
2024-05-03 16:30:30,15.1
2024-05-03 16:30:50,15.0
2024-05-03 16:31:10,14.9
2024-05-03 16:31:30,14.9
2024-05-03 16:31:50,14.8
2024-05-03 16:32:10,14.7
2024-05-03 16:32:30,14.7
2024-05-03 16:32:50,14.7
2024-05-03 16:33:10,14.7
2024-05-03 16:33:30,14.6
2024-05-03 16:33:50,14.6
2024-05-03 16:34:10,14.6
2024-05-03 16:34:30,14.6
2024-05-03 16:34:50,14.7
2024-05-03 16:35:10,14.7
2024-05-03 16:35:30,14.7
2024-05-03 16:35:50,14.7
2024-05-03 16:36:10,14.7
2024-05-03 16:36:30,14.7
2024-05-03 16:36:50,14.7
2024-05-03 16:37:10,14.7
2024-05-03 16:37:30,14.8
2024-05-03 16:37:50,14.7
2024-05-03 16:38:10,14.8
2024-05-03 16:38:30,14.7
2024-05-03 16:38:50,14.7
2024-05-03 16:39:10,14.7
2024-05-03 16:39:30,14.7
2024-05-03 16:39:50,14.7
2024-05-03 16:40:10,14.7
2024-05-03 16:40:30,14.7
2024-05-03 16:40:50,14.7
2024-05-03 16:41:10,14.7
2024-05-03 16:41:30,14.7
2024-05-03 16:41:50,14.7
2024-05-03 16:42:10,14.7
2024-05-03 16:42:30,14.7
2024-05-03 16:42:50,14.7
2024-05-03 16:43:10,14.7
2024-05-03 16:43:30,14.7
2024-05-03 16:43:50,14.7
2024-05-03 16:44:10,14.8
2024-05-03 16:44:30,14.7
2024-05-03 16:44:50,14.7
2024-05-03 16:45:10,14.7
2024-05-03 16:45:30,14.8
2024-05-03 16:45:50,14.8
2024-05-03 16:46:10,14.8
2024-05-03 16:46:30,14.8
2024-05-03 16:46:50,14.7
2024-05-03 16:47:10,14.8
