------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T7.3
EnvLogger Viewer version, 1.18
downloading device type, iphone
device, iPhone
downloading mode, manual
------------------------------,--------------------
serial number, 04FC B300 F82D 0E
custom name, 
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 183
time diff [logger-smartphone](sec), -2
lat, 36.618153
long, -121.895928
accuracy (m), 4.8
------------------------------,--------------------
time,temp
2024-05-03 16:23:44,NA
2024-05-03 16:24:04,16.7
2024-05-03 16:24:24,16.7
2024-05-03 16:24:44,16.7
2024-05-03 16:25:04,16.8
2024-05-03 16:25:24,16.7
2024-05-03 16:25:44,16.7
2024-05-03 16:26:04,16.7
2024-05-03 16:26:24,16.6
2024-05-03 16:26:44,16.6
2024-05-03 16:27:04,16.7
2024-05-03 16:27:24,16.6
2024-05-03 16:27:44,16.6
2024-05-03 16:28:04,16.6
2024-05-03 16:28:24,16.5
2024-05-03 16:28:44,16.1
2024-05-03 16:29:04,15.6
2024-05-03 16:29:24,15.2
2024-05-03 16:29:44,15.0
2024-05-03 16:30:04,14.7
2024-05-03 16:30:24,14.6
2024-05-03 16:30:44,14.4
2024-05-03 16:31:04,14.3
2024-05-03 16:31:24,14.2
2024-05-03 16:31:44,14.1
2024-05-03 16:32:04,14.1
2024-05-03 16:32:24,14.0
2024-05-03 16:32:44,14.0
2024-05-03 16:33:04,14.0
2024-05-03 16:33:24,14.0
2024-05-03 16:33:44,14.0
2024-05-03 16:34:04,13.9
2024-05-03 16:34:24,14.0
2024-05-03 16:34:44,13.9
2024-05-03 16:35:04,13.9
2024-05-03 16:35:24,13.9
2024-05-03 16:35:44,13.9
2024-05-03 16:36:04,14.0
2024-05-03 16:36:24,13.9
2024-05-03 16:36:44,13.9
2024-05-03 16:37:04,13.9
2024-05-03 16:37:24,13.9
2024-05-03 16:37:44,13.9
2024-05-03 16:38:04,13.9
2024-05-03 16:38:24,14.0
2024-05-03 16:38:44,14.0
2024-05-03 16:39:04,13.9
2024-05-03 16:39:24,13.9
2024-05-03 16:39:44,13.9
2024-05-03 16:40:04,13.9
2024-05-03 16:40:24,13.9
2024-05-03 16:40:44,13.9
2024-05-03 16:41:04,13.9
2024-05-03 16:41:24,13.9
2024-05-03 16:41:44,13.9
2024-05-03 16:42:04,13.9
2024-05-03 16:42:24,13.9
2024-05-03 16:42:44,13.9
2024-05-03 16:43:04,13.9
2024-05-03 16:43:24,13.9
2024-05-03 16:43:44,13.9
2024-05-03 16:44:04,13.9
2024-05-03 16:44:24,13.9
2024-05-03 16:44:44,13.9
2024-05-03 16:45:04,13.9
2024-05-03 16:45:24,13.9
