depth_m,serial,time,temp,file_i
-10.5,0419 6F00 263B 02,2024-05-03T16:13:57Z,NA,2
-10.5,0419 6F00 263B 02,2024-05-03T16:14:17Z,15.8,2
-10.5,0419 6F00 263B 02,2024-05-03T16:14:37Z,15.9,2
-10.5,0419 6F00 263B 02,2024-05-03T16:14:57Z,16,2
-10.5,0419 6F00 263B 02,2024-05-03T16:15:17Z,16.1,2
-10.5,0419 6F00 263B 02,2024-05-03T16:15:37Z,16.1,2
-10.5,0419 6F00 263B 02,2024-05-03T16:15:57Z,16.1,2
-10.5,0419 6F00 263B 02,2024-05-03T16:16:17Z,16.2,2
-10.5,0419 6F00 263B 02,2024-05-03T16:16:37Z,16.3,2
-10.5,0419 6F00 263B 02,2024-05-03T16:16:57Z,16.4,2
-10.5,0419 6F00 263B 02,2024-05-03T16:17:17Z,16.4,2
-10.5,0419 6F00 263B 02,2024-05-03T16:17:37Z,16.5,2
-10.5,0419 6F00 263B 02,2024-05-03T16:17:57Z,16.5,2
-10.5,0419 6F00 263B 02,2024-05-03T16:18:17Z,16.6,2
-10.5,0419 6F00 263B 02,2024-05-03T16:18:37Z,16.7,2
-10.5,0419 6F00 263B 02,2024-05-03T16:18:57Z,16.7,2
-10.5,0419 6F00 263B 02,2024-05-03T16:19:17Z,16.7,2
-10.5,0419 6F00 263B 02,2024-05-03T16:19:37Z,16.8,2
-10.5,0419 6F00 263B 02,2024-05-03T16:19:57Z,16.8,2
-10.5,0419 6F00 263B 02,2024-05-03T16:20:17Z,16.8,2
-10.5,0419 6F00 263B 02,2024-05-03T16:20:37Z,16.8,2
-10.5,0419 6F00 263B 02,2024-05-03T16:20:57Z,16.9,2
-10.5,0419 6F00 263B 02,2024-05-03T16:21:17Z,16.8,2
-10.5,0419 6F00 263B 02,2024-05-03T16:21:37Z,16.8,2
-10.5,0419 6F00 263B 02,2024-05-03T16:21:57Z,16.7,2
-10.5,0419 6F00 263B 02,2024-05-03T16:22:17Z,16.7,2
-10.5,0419 6F00 263B 02,2024-05-03T16:22:37Z,16.7,2
-10.5,0419 6F00 263B 02,2024-05-03T16:22:57Z,16.6,2
-10.5,0419 6F00 263B 02,2024-05-03T16:23:17Z,16.6,2
-10.5,0419 6F00 263B 02,2024-05-03T16:23:37Z,16.5,2
-10.5,0419 6F00 263B 02,2024-05-03T16:23:57Z,16.6,2
-10.5,0419 6F00 263B 02,2024-05-03T16:24:17Z,16.5,2
-10.5,0419 6F00 263B 02,2024-05-03T16:24:37Z,16.5,2
-10.5,0419 6F00 263B 02,2024-05-03T16:24:57Z,16.6,2
-10.5,0419 6F00 263B 02,2024-05-03T16:25:17Z,16.6,2
-10.5,0419 6F00 263B 02,2024-05-03T16:25:37Z,16.6,2
-10.5,0419 6F00 263B 02,2024-05-03T16:25:57Z,NA,2
-10.5,0419 6F00 263B 02,2024-05-03T16:26:17Z,16.7,2
-10.5,0419 6F00 263B 02,2024-05-03T16:26:37Z,16.7,2
-10.5,0419 6F00 263B 02,2024-05-03T16:26:57Z,16.8,2
-10.5,0419 6F00 263B 02,2024-05-03T16:27:17Z,16.7,2
-10.5,0419 6F00 263B 02,2024-05-03T16:27:37Z,16.7,2
-10.5,0419 6F00 263B 02,2024-05-03T16:27:57Z,16.7,2
-10.5,0419 6F00 263B 02,2024-05-03T16:28:17Z,16.4,2
-10.5,0419 6F00 263B 02,2024-05-03T16:28:37Z,15.4,2
-10.5,0419 6F00 263B 02,2024-05-03T16:28:57Z,14.6,2
-10.5,0419 6F00 263B 02,2024-05-03T16:29:17Z,13.8,2
-10.5,0419 6F00 263B 02,2024-05-03T16:29:37Z,13.2,2
-10.5,0419 6F00 263B 02,2024-05-03T16:29:57Z,12.8,2
-10.5,0419 6F00 263B 02,2024-05-03T16:30:17Z,12.5,2
-10.5,0419 6F00 263B 02,2024-05-03T16:30:37Z,12.1,2
-10.5,0419 6F00 263B 02,2024-05-03T16:30:57Z,12,2
-10.5,0419 6F00 263B 02,2024-05-03T16:31:17Z,11.7,2
-10.5,0419 6F00 263B 02,2024-05-03T16:31:37Z,11.6,2
-10.5,0419 6F00 263B 02,2024-05-03T16:31:57Z,11.5,2
-10.5,0419 6F00 263B 02,2024-05-03T16:32:17Z,11.4,2
-10.5,0419 6F00 263B 02,2024-05-03T16:32:37Z,11.3,2
-10.5,0419 6F00 263B 02,2024-05-03T16:32:57Z,11.3,2
-10.5,0419 6F00 263B 02,2024-05-03T16:33:17Z,11.2,2
-10.5,0419 6F00 263B 02,2024-05-03T16:33:37Z,11.2,2
-10.5,0419 6F00 263B 02,2024-05-03T16:33:57Z,11.1,2
-10.5,0419 6F00 263B 02,2024-05-03T16:34:17Z,11.1,2
-10.5,0419 6F00 263B 02,2024-05-03T16:34:37Z,11.1,2
-10.5,0419 6F00 263B 02,2024-05-03T16:34:57Z,11.1,2
-10.5,0419 6F00 263B 02,2024-05-03T16:35:17Z,11.1,2
-10.5,0419 6F00 263B 02,2024-05-03T16:35:37Z,11.1,2
-10.5,0419 6F00 263B 02,2024-05-03T16:35:57Z,11.1,2
-10.5,0419 6F00 263B 02,2024-05-03T16:36:17Z,11.1,2
-10.5,0419 6F00 263B 02,2024-05-03T16:36:37Z,11.1,2
-10.5,0419 6F00 263B 02,2024-05-03T16:36:57Z,11.1,2
-10.5,0419 6F00 263B 02,2024-05-03T16:37:17Z,11.1,2
-10.5,0419 6F00 263B 02,2024-05-03T16:37:37Z,11.1,2
-10.5,0419 6F00 263B 02,2024-05-03T16:37:57Z,11.1,2
-10.5,0419 6F00 263B 02,2024-05-03T16:38:17Z,11.1,2
-10.5,0419 6F00 263B 02,2024-05-03T16:38:37Z,11.1,2
-10.5,0419 6F00 263B 02,2024-05-03T16:38:57Z,11.1,2
-10.5,0419 6F00 263B 02,2024-05-03T16:39:17Z,11.1,2
-10.5,0419 6F00 263B 02,2024-05-03T16:39:37Z,11.1,2
-10.5,0419 6F00 263B 02,2024-05-03T16:39:57Z,11.1,2
-10.5,0419 6F00 263B 02,2024-05-03T16:40:17Z,11.1,2
-10.5,0419 6F00 263B 02,2024-05-03T16:40:37Z,11.1,2
-10.5,0419 6F00 263B 02,2024-05-03T16:40:57Z,11.1,2
-10.5,0419 6F00 263B 02,2024-05-03T16:41:17Z,11.1,2
-10.5,0419 6F00 263B 02,2024-05-03T16:41:37Z,11.1,2
-10.5,0419 6F00 263B 02,2024-05-03T16:41:57Z,11.1,2
-10.5,0419 6F00 263B 02,2024-05-03T16:42:17Z,11.1,2
-10.5,0419 6F00 263B 02,2024-05-03T16:42:37Z,11.1,2
-10.5,0419 6F00 263B 02,2024-05-03T16:42:57Z,11.1,2
-10.5,0419 6F00 263B 02,2024-05-03T16:43:17Z,11.1,2
-10.5,0419 6F00 263B 02,2024-05-03T16:43:37Z,11.1,2
-10.5,0419 6F00 263B 02,2024-05-03T16:43:57Z,11.1,2
-10.5,0419 6F00 263B 02,2024-05-03T16:44:17Z,11.1,2
-10.5,0419 6F00 263B 02,2024-05-03T16:44:37Z,11,2
-10.5,0419 6F00 263B 02,2024-05-03T16:44:57Z,11.1,2
-10.5,0419 6F00 263B 02,2024-05-03T16:45:17Z,11,2
-10.5,0419 6F00 263B 02,2024-05-03T16:45:37Z,11,2
-10.5,0419 6F00 263B 02,2024-05-03T16:45:57Z,11.1,2
-10.5,0419 6F00 263B 02,2024-05-03T16:46:17Z,11.1,2
-10.5,0419 6F00 263B 02,2024-05-03T16:46:37Z,11.1,2
-10.5,0419 6F00 263B 02,2024-05-03T16:46:57Z,11,2
-10.5,0419 6F00 263B 02,2024-05-03T16:47:17Z,11,2
-10.5,0419 6F00 263B 02,2024-05-03T16:47:37Z,11,2
-10.5,0419 6F00 263B 02,2024-05-03T16:47:57Z,11,2
-10.5,0419 6F00 263B 02,2024-05-03T16:48:17Z,11,2
-10.5,0419 6F00 263B 02,2024-05-03T16:48:37Z,11,2
-10.5,0419 6F00 263B 02,2024-05-03T16:48:57Z,11,2
-10.5,0419 6F00 263B 02,2024-05-03T16:49:17Z,11,2
-10.5,0419 6F00 263B 02,2024-05-03T16:49:37Z,11,2
-10.5,0419 6F00 263B 02,2024-05-03T16:49:57Z,11,2
-10.5,0419 6F00 263B 02,2024-05-03T16:50:17Z,11,2
-10.5,0419 6F00 263B 02,2024-05-03T16:50:37Z,11,2
-10.5,0419 6F00 263B 02,2024-05-03T16:50:57Z,11,2
-10.5,0419 6F00 263B 02,2024-05-03T16:51:17Z,11,2
-10.5,0419 6F00 263B 02,2024-05-03T16:51:37Z,11,2
-10.5,0419 6F00 263B 02,2024-05-03T16:51:57Z,11,2
-10.5,0419 6F00 263B 02,2024-05-03T16:52:17Z,10.9,2
-10.5,0419 6F00 263B 02,2024-05-03T16:52:37Z,10.9,2
-10.5,0419 6F00 263B 02,2024-05-03T16:52:57Z,11,2
-10.5,0419 6F00 263B 02,2024-05-03T16:53:17Z,11,2
-10.5,0419 6F00 263B 02,2024-05-03T16:53:37Z,10.9,2
-10.5,0419 6F00 263B 02,2024-05-03T16:53:57Z,11,2
-10.5,0419 6F00 263B 02,2024-05-03T16:54:17Z,11,2
-10.5,0419 6F00 263B 02,2024-05-03T16:54:37Z,10.9,2
-10.5,0419 6F00 263B 02,2024-05-03T16:54:57Z,10.9,2
-10.5,0419 6F00 263B 02,2024-05-03T16:55:17Z,10.9,2
-10.5,0419 6F00 263B 02,2024-05-03T16:55:37Z,10.9,2
-10.5,0419 6F00 263B 02,2024-05-03T16:55:57Z,10.9,2
-10.5,0419 6F00 263B 02,2024-05-03T16:56:17Z,10.8,2
-10.5,0419 6F00 263B 02,2024-05-03T16:56:37Z,10.9,2
-10.5,0419 6F00 263B 02,2024-05-03T16:56:57Z,10.9,2
-10.5,0419 6F00 263B 02,2024-05-03T16:57:17Z,10.9,2
-10.5,0419 6F00 263B 02,2024-05-03T16:57:37Z,10.8,2
-10.5,0419 6F00 263B 02,2024-05-03T16:57:57Z,10.9,2
-10.5,0419 6F00 263B 02,2024-05-03T16:58:17Z,10.8,2
-10.5,0419 6F00 263B 02,2024-05-03T16:58:37Z,10.9,2
-10.5,0419 6F00 263B 02,2024-05-03T16:58:57Z,10.8,2
-10.5,0419 6F00 263B 02,2024-05-03T16:59:17Z,10.9,2
-10.5,0419 6F00 263B 02,2024-05-03T16:59:37Z,10.8,2
-10.5,0419 6F00 263B 02,2024-05-03T16:59:57Z,10.8,2
-10.5,0419 6F00 263B 02,2024-05-03T17:00:17Z,10.8,2
-10.5,0419 6F00 263B 02,2024-05-03T17:00:37Z,10.8,2
-10.5,0419 6F00 263B 02,2024-05-03T17:00:57Z,10.8,2
-10.5,0419 6F00 263B 02,2024-05-03T17:01:17Z,10.8,2
-10.5,0419 6F00 263B 02,2024-05-03T17:01:37Z,10.8,2
-10.5,0419 6F00 263B 02,2024-05-03T17:01:57Z,10.8,2
-10.5,0419 6F00 263B 02,2024-05-03T17:02:17Z,10.8,2
-10.5,0419 6F00 263B 02,2024-05-03T17:02:37Z,10.9,2
-10.5,0419 6F00 263B 02,2024-05-03T17:02:57Z,10.9,2
-10.5,0419 6F00 263B 02,2024-05-03T17:03:17Z,10.9,2
-10.5,0419 6F00 263B 02,2024-05-03T17:03:37Z,10.9,2
-10.5,0419 6F00 263B 02,2024-05-03T17:03:57Z,10.8,2
-10.5,0419 6F00 263B 02,2024-05-03T17:04:17Z,10.9,2
-10.5,0419 6F00 263B 02,2024-05-03T17:04:37Z,10.9,2
-10.5,0419 6F00 263B 02,2024-05-03T17:04:57Z,10.9,2
-10.5,0419 6F00 263B 02,2024-05-03T17:05:17Z,10.9,2
-10.5,0419 6F00 263B 02,2024-05-03T17:05:37Z,10.9,2
-10.5,0419 6F00 263B 02,2024-05-03T17:05:57Z,10.9,2
-10.5,0419 6F00 263B 02,2024-05-03T17:06:17Z,10.9,2
-10.5,0419 6F00 263B 02,2024-05-03T17:06:37Z,10.9,2
-10.5,0419 6F00 263B 02,2024-05-03T17:06:57Z,10.9,2
-10.5,0419 6F00 263B 02,2024-05-03T17:07:17Z,10.9,2
-10.5,0419 6F00 263B 02,2024-05-03T17:07:37Z,10.9,2
-10.5,0419 6F00 263B 02,2024-05-03T17:07:57Z,10.8,2
-10.5,0419 6F00 263B 02,2024-05-03T17:08:17Z,10.9,2
-10.5,0419 6F00 263B 02,2024-05-03T17:08:37Z,10.9,2
-10.5,0419 6F00 263B 02,2024-05-03T17:08:57Z,10.8,2
-10.5,0419 6F00 263B 02,2024-05-03T17:09:17Z,10.8,2
-10.5,0419 6F00 263B 02,2024-05-03T17:09:37Z,10.8,2
-10.5,0419 6F00 263B 02,2024-05-03T17:09:57Z,10.8,2
-10.5,0419 6F00 263B 02,2024-05-03T17:10:17Z,10.8,2
-10.5,0419 6F00 263B 02,2024-05-03T17:10:37Z,10.8,2
-10.5,0419 6F00 263B 02,2024-05-03T17:10:57Z,10.8,2
-10.5,0419 6F00 263B 02,2024-05-03T17:11:17Z,10.8,2
-10.5,0419 6F00 263B 02,2024-05-03T17:11:37Z,10.7,2
-10.5,0419 6F00 263B 02,2024-05-03T17:11:57Z,10.8,2
-10.5,0419 6F00 263B 02,2024-05-03T17:12:17Z,10.8,2
-10.5,0419 6F00 263B 02,2024-05-03T17:12:37Z,10.8,2
-10.5,0419 6F00 263B 02,2024-05-03T17:12:57Z,10.7,2
-10.5,0419 6F00 263B 02,2024-05-03T17:13:17Z,10.8,2
-10.5,0419 6F00 263B 02,2024-05-03T17:13:37Z,10.7,2
-10.5,0419 6F00 263B 02,2024-05-03T17:13:57Z,10.7,2
-10.5,0419 6F00 263B 02,2024-05-03T17:14:17Z,10.7,2
-10.5,0419 6F00 263B 02,2024-05-03T17:14:37Z,10.8,2
-10.5,0419 6F00 263B 02,2024-05-03T17:14:57Z,10.7,2
-10.5,0419 6F00 263B 02,2024-05-03T17:15:17Z,10.8,2
-10.5,0419 6F00 263B 02,2024-05-03T17:15:37Z,10.7,2
-10.5,0419 6F00 263B 02,2024-05-03T17:15:57Z,10.7,2
-10.5,0419 6F00 263B 02,2024-05-03T17:16:17Z,10.8,2
-10.5,0419 6F00 263B 02,2024-05-03T17:16:37Z,11.4,2
-10.5,0419 6F00 263B 02,2024-05-03T17:16:57Z,11.7,2
-10.5,0419 6F00 263B 02,2024-05-03T17:17:17Z,11.9,2
-10.5,0419 6F00 263B 02,2024-05-03T17:17:37Z,12.2,2
-10.5,0419 6F00 263B 02,2024-05-03T17:17:57Z,12.5,2
-10.5,0419 6F00 263B 02,2024-05-03T17:18:17Z,12.7,2
-10.5,0419 6F00 263B 02,2024-05-03T17:18:37Z,12.8,2
-10.5,0419 6F00 263B 02,2024-05-03T17:18:57Z,13.1,2
-10.5,0419 6F00 263B 02,2024-05-03T17:19:17Z,13.3,2
-10.5,0419 6F00 263B 02,2024-05-03T17:19:37Z,13.4,2
-10.5,0419 6F00 263B 02,2024-05-03T17:19:57Z,13.5,2
-10.5,0419 6F00 263B 02,2024-05-03T17:20:17Z,13.7,2
-10.5,0419 6F00 263B 02,2024-05-03T17:20:37Z,13.8,2
-10.5,0419 6F00 263B 02,2024-05-03T17:20:57Z,13.8,2
-10.5,0419 6F00 263B 02,2024-05-03T17:21:17Z,13.9,2
-10.5,0419 6F00 263B 02,2024-05-03T17:21:37Z,14,2
-10.5,0419 6F00 263B 02,2024-05-03T17:21:57Z,14.1,2
-10.5,0419 6F00 263B 02,2024-05-03T17:22:17Z,14.2,2
-10.5,0419 6F00 263B 02,2024-05-03T17:22:37Z,14.2,2
-10.5,0419 6F00 263B 02,2024-05-03T17:22:57Z,14.3,2
-10.5,0419 6F00 263B 02,2024-05-03T17:23:17Z,14.4,2
-10.5,0419 6F00 263B 02,2024-05-03T17:23:37Z,14.5,2
-10.5,0419 6F00 263B 02,2024-05-03T17:23:57Z,14.6,2
-10.5,0419 6F00 263B 02,2024-05-03T17:24:17Z,14.7,2
-10.5,0419 6F00 263B 02,2024-05-03T17:24:37Z,14.8,2
-10.5,0419 6F00 263B 02,2024-05-03T17:24:57Z,14.7,2
-10.5,0419 6F00 263B 02,2024-05-03T17:25:17Z,14.8,2
-10.5,0419 6F00 263B 02,2024-05-03T17:25:37Z,14.9,2
-10.5,0419 6F00 263B 02,2024-05-03T17:25:57Z,15,2
-10.5,0419 6F00 263B 02,2024-05-03T17:26:17Z,15.1,2
-10.5,0419 6F00 263B 02,2024-05-03T17:26:37Z,15.2,2
-10.5,0419 6F00 263B 02,2024-05-03T17:26:57Z,15.3,2
-10.5,0419 6F00 263B 02,2024-05-03T17:27:17Z,15.3,2
-10.5,0419 6F00 263B 02,2024-05-03T17:27:37Z,15.4,2
-10.5,0419 6F00 263B 02,2024-05-03T17:27:57Z,15.5,2
-10.5,0419 6F00 263B 02,2024-05-03T17:28:17Z,15.6,2
-10.5,0419 6F00 263B 02,2024-05-03T17:28:37Z,15.6,2
-10.5,0419 6F00 263B 02,2024-05-03T17:28:57Z,15.7,2
-10.5,0419 6F00 263B 02,2024-05-03T17:29:17Z,15.7,2
-10.5,0419 6F00 263B 02,2024-05-03T17:29:37Z,15.8,2
-10.5,0419 6F00 263B 02,2024-05-03T17:29:57Z,15.8,2
-10.5,0419 6F00 263B 02,2024-05-03T17:30:17Z,16,2
-10.5,0419 6F00 263B 02,2024-05-03T17:30:37Z,15.9,2
-10.5,0419 6F00 263B 02,2024-05-03T17:30:57Z,15.9,2
-10.5,0419 6F00 263B 02,2024-05-03T17:31:17Z,15.9,2
-10.5,0419 6F00 263B 02,2024-05-03T17:31:37Z,15.9,2
-10.5,0419 6F00 263B 02,2024-05-03T17:31:57Z,16,2
-10.5,0419 6F00 263B 02,2024-05-03T17:32:17Z,16,2
-10.5,0419 6F00 263B 02,2024-05-03T17:32:37Z,16.1,2
-10.5,0419 6F00 263B 02,2024-05-03T17:32:57Z,16.2,2
-10.5,0419 6F00 263B 02,2024-05-03T17:33:17Z,16.2,2
-10.5,0419 6F00 263B 02,2024-05-03T17:33:37Z,16.3,2
-10.5,0419 6F00 263B 02,2024-05-03T17:33:57Z,16.3,2
-10.5,0419 6F00 263B 02,2024-05-03T17:34:17Z,16.2,2
-10.5,0419 6F00 263B 02,2024-05-03T17:34:37Z,16.2,2
-10.5,0419 6F00 263B 02,2024-05-03T17:34:57Z,16.1,2
-10.5,0419 6F00 263B 02,2024-05-03T17:35:17Z,16.1,2
-9.5,0431 8200 F135 0A,2024-05-03T16:14:44Z,NA,3
-9.5,0431 8200 F135 0A,2024-05-03T16:15:04Z,15.9,3
-9.5,0431 8200 F135 0A,2024-05-03T16:15:24Z,15.9,3
-9.5,0431 8200 F135 0A,2024-05-03T16:15:44Z,15.9,3
-9.5,0431 8200 F135 0A,2024-05-03T16:16:04Z,16,3
-9.5,0431 8200 F135 0A,2024-05-03T16:16:24Z,16,3
-9.5,0431 8200 F135 0A,2024-05-03T16:16:44Z,16.1,3
-9.5,0431 8200 F135 0A,2024-05-03T16:17:04Z,16.2,3
-9.5,0431 8200 F135 0A,2024-05-03T16:17:24Z,16.3,3
-9.5,0431 8200 F135 0A,2024-05-03T16:17:44Z,16.4,3
-9.5,0431 8200 F135 0A,2024-05-03T16:18:04Z,16.5,3
-9.5,0431 8200 F135 0A,2024-05-03T16:18:24Z,16.6,3
-9.5,0431 8200 F135 0A,2024-05-03T16:18:44Z,16.6,3
-9.5,0431 8200 F135 0A,2024-05-03T16:19:04Z,16.6,3
-9.5,0431 8200 F135 0A,2024-05-03T16:19:24Z,16.7,3
-9.5,0431 8200 F135 0A,2024-05-03T16:19:44Z,16.8,3
-9.5,0431 8200 F135 0A,2024-05-03T16:20:04Z,16.7,3
-9.5,0431 8200 F135 0A,2024-05-03T16:20:24Z,16.8,3
-9.5,0431 8200 F135 0A,2024-05-03T16:20:44Z,16.8,3
-9.5,0431 8200 F135 0A,2024-05-03T16:21:04Z,16.8,3
