"","year","month","week","jday","date","zone","metric","tempC"
"1",2021,6,26,181,2021-06-30,"high","mean",17.5402777777778
"2",2021,6,26,181,2021-06-30,"high","max",31.4
"3",2021,6,26,181,2021-06-30,"high","min",14.5
"4",2021,6,26,181,2021-06-30,"mid","mean",16.4881944444444
"5",2021,6,26,181,2021-06-30,"mid","max",26.6
"6",2021,6,26,181,2021-06-30,"mid","min",14.5
"7",2021,7,26,182,2021-07-01,"high","mean",17.5527777777778
"8",2021,7,26,182,2021-07-01,"high","max",29.9
"9",2021,7,26,182,2021-07-01,"high","min",14.6
"10",2021,7,26,182,2021-07-01,"mid","mean",16.1118055555556
"11",2021,7,26,182,2021-07-01,"mid","max",23.3
"12",2021,7,26,182,2021-07-01,"mid","min",14.9
"13",2021,7,27,183,2021-07-02,"high","mean",17.4576388888889
"14",2021,7,27,183,2021-07-02,"high","max",32.3
"15",2021,7,27,183,2021-07-02,"high","min",13.2
"16",2021,7,27,183,2021-07-02,"mid","mean",14.5402777777778
"17",2021,7,27,183,2021-07-02,"mid","max",16.2
"18",2021,7,27,183,2021-07-02,"mid","min",13.1
"19",2021,7,27,184,2021-07-03,"high","mean",17.0118055555556
"20",2021,7,27,184,2021-07-03,"high","max",32.6
"21",2021,7,27,184,2021-07-03,"high","min",12.9
"22",2021,7,27,184,2021-07-03,"mid","mean",14.0673611111111
"23",2021,7,27,184,2021-07-03,"mid","max",16
"24",2021,7,27,184,2021-07-03,"mid","min",13.2
"25",2021,7,27,185,2021-07-04,"high","mean",16.0881944444444
"26",2021,7,27,185,2021-07-04,"high","max",32.9
"27",2021,7,27,185,2021-07-04,"high","min",12.5
"28",2021,7,27,185,2021-07-04,"mid","mean",13.8569444444444
"29",2021,7,27,185,2021-07-04,"mid","max",15.5
"30",2021,7,27,185,2021-07-04,"mid","min",13.2
"31",2021,7,27,186,2021-07-05,"high","mean",15.5743055555556
"32",2021,7,27,186,2021-07-05,"high","max",26.8
"33",2021,7,27,186,2021-07-05,"high","min",13.3
"34",2021,7,27,186,2021-07-05,"mid","mean",14.4145833333333
"35",2021,7,27,186,2021-07-05,"mid","max",16.4
"36",2021,7,27,186,2021-07-05,"mid","min",13.4
"37",2021,7,27,187,2021-07-06,"high","mean",14.9388888888889
"38",2021,7,27,187,2021-07-06,"high","max",23.1
"39",2021,7,27,187,2021-07-06,"high","min",13
"40",2021,7,27,187,2021-07-06,"mid","mean",14.2423611111111
"41",2021,7,27,187,2021-07-06,"mid","max",15.4
"42",2021,7,27,187,2021-07-06,"mid","min",13.3
"43",2021,7,27,188,2021-07-07,"high","mean",14.5479166666667
"44",2021,7,27,188,2021-07-07,"high","max",17.1
"45",2021,7,27,188,2021-07-07,"high","min",13.1
"46",2021,7,27,188,2021-07-07,"mid","mean",14.2770833333333
"47",2021,7,27,188,2021-07-07,"mid","max",15.2
"48",2021,7,27,188,2021-07-07,"mid","min",13.3
"49",2021,7,27,189,2021-07-08,"high","mean",14.7770833333333
"50",2021,7,27,189,2021-07-08,"high","max",17.7
"51",2021,7,27,189,2021-07-08,"high","min",12.9
"52",2021,7,27,189,2021-07-08,"mid","mean",14.4958333333333
"53",2021,7,27,189,2021-07-08,"mid","max",15.6
"54",2021,7,27,189,2021-07-08,"mid","min",13.1
"55",2021,7,28,190,2021-07-09,"high","mean",15.9673611111111
"56",2021,7,28,190,2021-07-09,"high","max",24.1
"57",2021,7,28,190,2021-07-09,"high","min",12.6
"58",2021,7,28,190,2021-07-09,"mid","mean",15.4027777777778
"59",2021,7,28,190,2021-07-09,"mid","max",21.8
"60",2021,7,28,190,2021-07-09,"mid","min",13.2
"61",2021,7,28,191,2021-07-10,"high","mean",15.9833333333333
"62",2021,7,28,191,2021-07-10,"high","max",23.4
"63",2021,7,28,191,2021-07-10,"high","min",13.4
"64",2021,7,28,191,2021-07-10,"mid","mean",15.3159722222222
"65",2021,7,28,191,2021-07-10,"mid","max",17
"66",2021,7,28,191,2021-07-10,"mid","min",13.9
"67",2021,7,28,192,2021-07-11,"high","mean",15.2243055555556
"68",2021,7,28,192,2021-07-11,"high","max",20.1
"69",2021,7,28,192,2021-07-11,"high","min",13
"70",2021,7,28,192,2021-07-11,"mid","mean",14.9729166666667
"71",2021,7,28,192,2021-07-11,"mid","max",16.3
"72",2021,7,28,192,2021-07-11,"mid","min",13.5
"73",2021,7,28,193,2021-07-12,"high","mean",15.1041666666667
"74",2021,7,28,193,2021-07-12,"high","max",20.9
"75",2021,7,28,193,2021-07-12,"high","min",12.6
"76",2021,7,28,193,2021-07-12,"mid","mean",14.8916666666667
"77",2021,7,28,193,2021-07-12,"mid","max",16.2
"78",2021,7,28,193,2021-07-12,"mid","min",13.2
"79",2021,7,28,194,2021-07-13,"high","mean",15.2138888888889
"80",2021,7,28,194,2021-07-13,"high","max",23
"81",2021,7,28,194,2021-07-13,"high","min",12.8
"82",2021,7,28,194,2021-07-13,"mid","mean",14.8777777777778
"83",2021,7,28,194,2021-07-13,"mid","max",16.6
"84",2021,7,28,194,2021-07-13,"mid","min",13.5
"85",2021,7,28,195,2021-07-14,"high","mean",15.3555555555556
"86",2021,7,28,195,2021-07-14,"high","max",21.5
"87",2021,7,28,195,2021-07-14,"high","min",13.2
"88",2021,7,28,195,2021-07-14,"mid","mean",14.8201388888889
